ROI name,mean DSC,std,minimum,first qurtile,median,third qurtile,max
ROI 176,0.6483,0.0727,0.5314,0.6117,0.6666,0.6928,0.7524
ROI 181,0.6330,0.0784,0.4782,0.5982,0.6495,0.6887,0.7450
ROI 163,0.6339,0.1028,0.4073,0.5830,0.6728,0.7094,0.7709
ROI 109,0.6608,0.1072,0.3836,0.6170,0.7031,0.7291,0.7608
ROI 31,0.6490,0.0767,0.5718,0.5947,0.6336,0.6719,0.8384
ROI 186,0.6510,0.0978,0.4273,0.6061,0.6592,0.7073,0.7929
ROI 23,0.6598,0.1078,0.4680,0.5594,0.6898,0.7376,0.8437
ROI 114,0.6190,0.1021,0.3753,0.5879,0.6527,0.6934,0.7256
ROI 128,0.6243,0.0815,0.4820,0.5891,0.6381,0.6755,0.7537
ROI 179,0.6719,0.1170,0.2840,0.6652,0.6932,0.7309,0.7531
ROI 184,0.6370,0.0908,0.3844,0.6344,0.6603,0.6778,0.7435
ROI 104,0.6274,0.0844,0.4500,0.6029,0.6455,0.6761,0.7682
ROI 115,0.6055,0.0738,0.4684,0.5666,0.6082,0.6746,0.7033
ROI 187,0.6257,0.1111,0.4176,0.5770,0.6265,0.7101,0.7849
ROI 197,0.5854,0.0723,0.4187,0.5500,0.5842,0.6170,0.7101
ROI 125,0.6269,0.1480,0.2135,0.5768,0.6735,0.7465,0.7539
ROI 196,0.6008,0.0824,0.4890,0.5358,0.5869,0.6648,0.7435
ROI 120,0.6231,0.1529,0.2965,0.5257,0.6609,0.7218,0.8253
ROI 151,0.5727,0.1173,0.3850,0.4502,0.5944,0.6303,0.7445
ROI 204,0.5572,0.1012,0.2661,0.5170,0.5828,0.6290,0.6755
ROI 150,0.5951,0.1560,0.1972,0.4762,0.6327,0.7277,0.7465
ROI 174,0.5907,0.1218,0.4204,0.4546,0.5872,0.6979,0.7874
ROI 161,0.5591,0.0878,0.4349,0.5048,0.5691,0.6196,0.6915
ROI 105,0.6019,0.1198,0.3106,0.5467,0.6057,0.6768,0.7710
ROI 121,0.6114,0.1782,0.2040,0.4671,0.6503,0.7342,0.8334
ROI 160,0.6072,0.1527,0.1612,0.5887,0.6539,0.6822,0.7410
ROI 141,0.6335,0.1961,0.1298,0.6426,0.6937,0.7439,0.8066
ROI 124,0.5392,0.1666,0.0235,0.5074,0.5882,0.6215,0.6826
ROI 117,0.5119,0.1104,0.2812,0.4400,0.5129,0.5807,0.7245
ROI 137,0.5064,0.1286,0.2612,0.4884,0.5327,0.5771,0.6596
ROI 140,0.5793,0.1845,0.0424,0.5390,0.6269,0.6957,0.7353
ROI 76,0.5292,0.0747,0.4223,0.4727,0.5128,0.5847,0.6828
ROI 116,0.5118,0.1445,0.2891,0.3921,0.5049,0.6341,0.7393
ROI 136,0.4719,0.1337,0.1845,0.4179,0.4874,0.5099,0.7152
ROI 75,0.5374,0.1497,0.1322,0.5375,0.5822,0.6132,0.6763
ROI 4,0.4267,0.0670,0.3160,0.3811,0.4256,0.4695,0.5278
ROI 165,0.4765,0.1395,0.2748,0.3861,0.4179,0.6338,0.6935
ROI 148,0.4650,0.1488,0.2289,0.4073,0.4826,0.5610,0.6987
ROI 49,0.4136,0.1310,0.1401,0.3451,0.4108,0.4907,0.6604
ROI 157,0.3972,0.2142,0.0000,0.2376,0.4366,0.5864,0.7262
ROI 164,0.4289,0.2063,0.0110,0.3362,0.5146,0.5560,0.7038
ROI 50,0.3660,0.1331,0.1286,0.2710,0.3685,0.4336,0.6837
ROI 149,0.3196,0.1444,0.1501,0.1714,0.2960,0.4116,0.6185
ROI 156,0.3397,0.2247,0.0036,0.2141,0.3186,0.5031,0.6742
