ROI name,mean DSC,std,minimum,first qurtile,median,third qurtile,max
ROI 181,0.6145,0.0734,0.4698,0.5826,0.6239,0.6679,0.7256
ROI 163,0.6421,0.0859,0.4515,0.5926,0.6545,0.7104,0.7458
ROI 109,0.6636,0.0868,0.4088,0.6322,0.6829,0.7232,0.7484
ROI 31,0.6824,0.0563,0.6017,0.6430,0.6671,0.7177,0.7987
ROI 186,0.6470,0.0929,0.4054,0.5971,0.6800,0.6982,0.7796
ROI 23,0.6740,0.0721,0.4985,0.6372,0.6823,0.7238,0.7618
ROI 114,0.6100,0.0870,0.4294,0.5731,0.6464,0.6703,0.7083
ROI 128,0.6089,0.0754,0.4506,0.5630,0.6256,0.6728,0.6940
ROI 179,0.6563,0.1257,0.2537,0.6408,0.6835,0.7392,0.7586
ROI 184,0.6204,0.0765,0.4394,0.5999,0.6478,0.6725,0.6982
ROI 104,0.6106,0.0991,0.4201,0.5543,0.6310,0.6866,0.7489
ROI 115,0.6072,0.0469,0.5145,0.5727,0.6043,0.6537,0.6762
ROI 187,0.6190,0.1130,0.3776,0.5994,0.6439,0.6855,0.8001
ROI 197,0.5916,0.0586,0.4860,0.5535,0.5968,0.6042,0.7192
ROI 125,0.6431,0.1182,0.2964,0.6085,0.6724,0.7162,0.7690
ROI 196,0.5969,0.0708,0.4823,0.5345,0.6071,0.6373,0.7360
ROI 120,0.6401,0.1184,0.3554,0.5754,0.6523,0.7170,0.8059
ROI 151,0.5749,0.1173,0.3884,0.4919,0.5819,0.6428,0.7628
ROI 204,0.5512,0.0973,0.2868,0.4981,0.5822,0.6246,0.6342
ROI 150,0.5886,0.1474,0.2434,0.4709,0.6556,0.6833,0.7639
ROI 174,0.5851,0.1179,0.3834,0.4684,0.6183,0.6752,0.8034
ROI 161,0.5632,0.0810,0.4122,0.5036,0.5723,0.6375,0.6663
ROI 105,0.5490,0.1405,0.2400,0.5068,0.5814,0.6458,0.6980
ROI 121,0.6252,0.1652,0.2031,0.5361,0.6839,0.7587,0.8013
ROI 160,0.5792,0.1705,0.0767,0.5447,0.6464,0.6689,0.7288
ROI 141,0.6107,0.1860,0.1071,0.4784,0.6762,0.7449,0.7686
ROI 124,0.5278,0.1695,0.0056,0.4957,0.5575,0.6032,0.7263
ROI 117,0.5033,0.1113,0.3006,0.4573,0.4895,0.5640,0.7235
ROI 137,0.5184,0.1064,0.2539,0.4766,0.5380,0.6023,0.6649
ROI 140,0.5595,0.1787,0.0436,0.5063,0.6147,0.6814,0.6931
ROI 76,0.5249,0.0650,0.4425,0.4765,0.4960,0.5693,0.6584
ROI 116,0.5066,0.1209,0.3462,0.3991,0.4922,0.6347,0.6988
ROI 136,0.4554,0.1502,0.1993,0.3499,0.4609,0.5295,0.7091
ROI 75,0.5149,0.1371,0.1425,0.5113,0.5614,0.6005,0.6114
ROI 4,0.3899,0.0694,0.2857,0.3402,0.3849,0.4205,0.5074
ROI 165,0.5013,0.1140,0.3506,0.3954,0.4735,0.6271,0.6562
ROI 148,0.4276,0.1637,0.1541,0.2482,0.4205,0.5786,0.6369
ROI 49,0.3946,0.1307,0.1076,0.3457,0.3973,0.4594,0.6123
ROI 157,0.4609,0.1894,0.0495,0.2837,0.4833,0.5840,0.7567
ROI 164,0.4162,0.2102,0.0131,0.2757,0.4866,0.5825,0.6751
ROI 50,0.3605,0.1406,0.0905,0.2734,0.3495,0.5000,0.6099
ROI 149,0.3513,0.1292,0.1291,0.2236,0.3500,0.4766,0.5335
ROI 156,0.3902,0.2295,0.0000,0.2201,0.4969,0.5778,0.7053
