ROI name,mean DSC,std,minimum,first qurtile,median,third qurtile,max
ROI 104,0.6491,0.0918,0.5017,0.5439,0.6759,0.7175,0.7975
ROI 115,0.6502,0.0630,0.5344,0.6152,0.6460,0.7120,0.7471
ROI 187,0.6652,0.0931,0.4427,0.6252,0.6864,0.7234,0.7757
ROI 197,0.6638,0.0643,0.5517,0.6148,0.6752,0.6983,0.7930
ROI 125,0.6654,0.1334,0.2922,0.6120,0.6933,0.7538,0.8187
ROI 196,0.6531,0.0764,0.5100,0.5951,0.6570,0.7075,0.7590
ROI 120,0.6585,0.1233,0.3443,0.6239,0.6442,0.7559,0.8134
ROI 151,0.6084,0.1052,0.4069,0.5376,0.6192,0.6897,0.7680
ROI 204,0.6273,0.1084,0.3735,0.5520,0.6548,0.7079,0.7881
ROI 150,0.6409,0.1528,0.2410,0.5519,0.6728,0.7448,0.8180
ROI 174,0.5819,0.1218,0.3805,0.5139,0.5916,0.6763,0.7597
ROI 161,0.5734,0.0877,0.3953,0.5413,0.5792,0.6176,0.7126
ROI 105,0.6126,0.1326,0.3235,0.5567,0.6263,0.7482,0.7903
ROI 121,0.6316,0.1814,0.2116,0.5148,0.6770,0.7622,0.8554
ROI 160,0.6139,0.1755,0.0653,0.5940,0.6542,0.7062,0.7823
ROI 141,0.6665,0.1956,0.1532,0.7020,0.7359,0.7799,0.8160
ROI 124,0.6182,0.1658,0.1020,0.5777,0.6663,0.7060,0.7580
ROI 117,0.5360,0.1181,0.3244,0.4802,0.5278,0.5748,0.7584
ROI 137,0.5400,0.1351,0.2685,0.4886,0.5757,0.6367,0.7003
ROI 140,0.6498,0.1981,0.0139,0.6724,0.7067,0.7475,0.7852
ROI 76,0.5504,0.0610,0.4487,0.5045,0.5406,0.6032,0.6475
ROI 116,0.5370,0.1353,0.3638,0.3909,0.5092,0.6565,0.7315
ROI 136,0.5134,0.1555,0.1746,0.4806,0.5317,0.5810,0.7079
ROI 75,0.5414,0.1531,0.0965,0.5479,0.5934,0.6249,0.6585
ROI 4,0.4779,0.0641,0.3795,0.4398,0.4742,0.5269,0.5944
ROI 165,0.4976,0.1441,0.3058,0.3854,0.4574,0.6353,0.7245
ROI 148,0.5242,0.1531,0.2684,0.4917,0.5259,0.6407,0.7544
ROI 49,0.5481,0.1198,0.2971,0.4777,0.5585,0.5967,0.7335
ROI 157,0.5399,0.1822,0.1461,0.3757,0.5920,0.6886,0.7955
ROI 164,0.4770,0.2475,0.0127,0.2767,0.5986,0.6504,0.7192
ROI 50,0.5043,0.1124,0.2439,0.4340,0.4928,0.5908,0.6983
ROI 149,0.4206,0.1298,0.2004,0.3403,0.4273,0.5204,0.6421
ROI 156,0.4366,0.2475,0.0997,0.1442,0.5773,0.6320,0.7477
