ROI name,mean DSC,std,minimum,first qurtile,median,third qurtile,max
ROI 35,0.8899,0.0174,0.8600,0.8764,0.8918,0.9021,0.9220
ROI 59,0.8852,0.0187,0.8494,0.8742,0.8884,0.8949,0.9188
ROI 60,0.8742,0.0168,0.8502,0.8662,0.8732,0.8825,0.9096
ROI 58,0.8931,0.0282,0.8158,0.8725,0.9010,0.9115,0.9239
ROI 39,0.8761,0.0201,0.8398,0.8506,0.8839,0.8914,0.9007
ROI 57,0.8918,0.0170,0.8630,0.8835,0.8944,0.9032,0.9163
ROI 38,0.8808,0.0210,0.8335,0.8695,0.8859,0.8976,0.9040
ROI 44,0.8694,0.0353,0.7854,0.8594,0.8701,0.8968,0.9170
ROI 45,0.8599,0.0389,0.7642,0.8418,0.8615,0.8895,0.9112
ROI 61,0.8363,0.0180,0.8107,0.8217,0.8394,0.8462,0.8767
ROI 62,0.8328,0.0310,0.7780,0.8118,0.8384,0.8573,0.8910
ROI 37,0.8461,0.0277,0.8061,0.8278,0.8413,0.8687,0.8946
ROI 47,0.8342,0.0279,0.7752,0.8228,0.8359,0.8558,0.8804
ROI 143,0.8205,0.0356,0.7519,0.7967,0.8209,0.8416,0.8833
ROI 41,0.8222,0.0491,0.7334,0.7698,0.8356,0.8646,0.8736
ROI 36,0.8428,0.0286,0.8030,0.8217,0.8412,0.8516,0.9175
ROI 40,0.8270,0.0450,0.7124,0.8052,0.8421,0.8584,0.8831
ROI 48,0.8262,0.0326,0.7652,0.7966,0.8286,0.8567,0.8658
ROI 52,0.8404,0.0540,0.7464,0.8001,0.8485,0.8788,0.9225
ROI 51,0.8453,0.0532,0.7695,0.8041,0.8356,0.8953,0.9318
ROI 142,0.8066,0.0364,0.7117,0.7877,0.8125,0.8296,0.8696
ROI 172,0.8210,0.0395,0.7268,0.7960,0.8245,0.8524,0.8733
ROI 11,0.8154,0.0480,0.7162,0.7973,0.8232,0.8427,0.8820
ROI 102,0.8085,0.0299,0.7446,0.7967,0.8091,0.8329,0.8437
ROI 56,0.8107,0.0305,0.7652,0.7852,0.8048,0.8305,0.8639
ROI 191,0.7610,0.0374,0.6827,0.7383,0.7667,0.7832,0.8126
ROI 138,0.8008,0.0431,0.7140,0.7754,0.8097,0.8305,0.8733
ROI 103,0.7962,0.0379,0.7133,0.7696,0.8077,0.8225,0.8436
ROI 154,0.7846,0.0437,0.7013,0.7646,0.7920,0.8187,0.8344
ROI 55,0.8090,0.0321,0.7742,0.7821,0.8021,0.8444,0.8621
ROI 101,0.8014,0.0577,0.6950,0.7675,0.8170,0.8353,0.8880
ROI 155,0.7724,0.0488,0.6718,0.7600,0.7702,0.8028,0.8457
ROI 190,0.7398,0.0490,0.6798,0.6903,0.7278,0.7817,0.8219
ROI 198,0.7538,0.0389,0.6930,0.7236,0.7575,0.7640,0.8407
ROI 168,0.7636,0.0331,0.7056,0.7399,0.7703,0.7866,0.8099
ROI 153,0.7417,0.0802,0.6160,0.6710,0.7753,0.8144,0.8281
ROI 132,0.7537,0.0343,0.6828,0.7229,0.7613,0.7790,0.7947
ROI 106,0.7438,0.0551,0.6263,0.7253,0.7513,0.7880,0.8326
ROI 139,0.7736,0.0680,0.5997,0.7276,0.7916,0.8226,0.8532
ROI 169,0.7629,0.0354,0.7086,0.7338,0.7702,0.7854,0.8255
ROI 171,0.7515,0.0310,0.6736,0.7359,0.7536,0.7762,0.8011
ROI 100,0.7565,0.1153,0.4444,0.7078,0.8015,0.8277,0.8540
ROI 202,0.7491,0.0745,0.6243,0.7184,0.7409,0.8179,0.8819
ROI 122,0.7548,0.0527,0.6383,0.7382,0.7640,0.7884,0.8357
ROI 200,0.7632,0.0522,0.6832,0.7301,0.7562,0.7990,0.8618
ROI 152,0.7271,0.0969,0.4884,0.7093,0.7683,0.7847,0.8144
ROI 167,0.7501,0.0517,0.6421,0.7261,0.7503,0.7704,0.8421
ROI 201,0.7568,0.0566,0.6244,0.7346,0.7567,0.8016,0.8409
ROI 113,0.7620,0.0601,0.6586,0.7177,0.7757,0.7932,0.8444
ROI 173,0.7814,0.1027,0.4593,0.7629,0.8193,0.8429,0.8591
ROI 133,0.7195,0.0536,0.6084,0.6784,0.7322,0.7508,0.8047
ROI 134,0.7638,0.0582,0.6185,0.7288,0.7711,0.8005,0.8368
ROI 107,0.7458,0.0393,0.6958,0.7160,0.7414,0.7820,0.8159
ROI 170,0.7187,0.0457,0.6004,0.7100,0.7228,0.7463,0.8024
ROI 123,0.7409,0.0462,0.6542,0.7128,0.7402,0.7766,0.8094
ROI 112,0.7359,0.0657,0.6096,0.7073,0.7654,0.7791,0.8170
ROI 203,0.7085,0.0807,0.5356,0.6714,0.6941,0.7764,0.8188
ROI 147,0.7217,0.0775,0.5828,0.6467,0.7439,0.7775,0.8365
ROI 192,0.7321,0.0658,0.6200,0.6887,0.7289,0.7596,0.8379
ROI 166,0.7185,0.0416,0.6592,0.6717,0.7222,0.7549,0.7848
ROI 199,0.7185,0.0547,0.6183,0.6963,0.7092,0.7529,0.8163
ROI 206,0.7366,0.0313,0.6827,0.7018,0.7484,0.7569,0.7816
ROI 135,0.7348,0.0566,0.6496,0.6944,0.7370,0.7840,0.8232
ROI 195,0.7365,0.0427,0.6735,0.7031,0.7386,0.7554,0.8103
ROI 183,0.7304,0.0433,0.6311,0.7125,0.7302,0.7574,0.8027
ROI 182,0.7152,0.0718,0.5447,0.6898,0.7351,0.7681,0.8018
ROI 193,0.6967,0.0869,0.4951,0.6654,0.7214,0.7663,0.7975
ROI 144,0.7239,0.0904,0.4933,0.7025,0.7460,0.7726,0.8440
ROI 194,0.7009,0.0470,0.6230,0.6642,0.7115,0.7464,0.7550
ROI 145,0.7392,0.0557,0.6617,0.6974,0.7336,0.7538,0.8479
ROI 119,0.6876,0.0820,0.5025,0.6334,0.7027,0.7432,0.8195
ROI 146,0.7002,0.0839,0.4725,0.6461,0.7178,0.7435,0.8015
ROI 32,0.7074,0.0717,0.6133,0.6474,0.6932,0.7655,0.8606
ROI 180,0.6690,0.0606,0.5853,0.6276,0.6711,0.7167,0.7645
ROI 175,0.7122,0.0696,0.5712,0.6726,0.7147,0.7583,0.8216
ROI 162,0.7433,0.0724,0.5356,0.7355,0.7602,0.7895,0.8209
ROI 108,0.7439,0.0849,0.5886,0.6971,0.7697,0.8022,0.8424
ROI 207,0.7173,0.0671,0.5164,0.7079,0.7237,0.7594,0.7953
ROI 178,0.6848,0.0726,0.5441,0.6356,0.6889,0.7538,0.7978
ROI 30,0.6998,0.0927,0.4811,0.6284,0.7295,0.7662,0.8057
ROI 129,0.6780,0.0542,0.5738,0.6531,0.6795,0.7294,0.7489
ROI 177,0.7125,0.0429,0.6357,0.6859,0.7042,0.7491,0.7874
ROI 185,0.6953,0.0543,0.5854,0.6630,0.6902,0.7419,0.7921
ROI 205,0.6713,0.0523,0.5635,0.6395,0.6601,0.7043,0.7728
ROI 118,0.6956,0.0913,0.4591,0.6574,0.7065,0.7680,0.8078
ROI 176,0.6852,0.0690,0.5387,0.6537,0.6978,0.7118,0.7930
ROI 181,0.6732,0.0662,0.5189,0.6521,0.6893,0.7159,0.7648
ROI 163,0.6807,0.0967,0.4261,0.6374,0.6816,0.7618,0.7911
ROI 109,0.7217,0.0823,0.4882,0.6959,0.7375,0.7764,0.8052
ROI 31,0.6686,0.0745,0.5640,0.6257,0.6462,0.7203,0.8328
ROI 186,0.6918,0.0864,0.4677,0.6549,0.7038,0.7605,0.7876
ROI 23,0.6993,0.0846,0.5413,0.6265,0.7162,0.7599,0.8452
ROI 114,0.6613,0.0848,0.4754,0.6290,0.6924,0.7128,0.7531
ROI 128,0.6529,0.0904,0.5052,0.5942,0.6620,0.7343,0.7783
ROI 179,0.7020,0.1120,0.3441,0.6928,0.7252,0.7781,0.7926
ROI 184,0.6537,0.0745,0.4823,0.6388,0.6714,0.7012,0.7471
