ROI name,mean DSC,std,minimum,first qurtile,median,third qurtile,max
ROI 197,0.6466,0.0620,0.5272,0.6041,0.6507,0.6880,0.7499
ROI 125,0.6518,0.1437,0.2525,0.5902,0.6851,0.7689,0.7918
ROI 196,0.6646,0.0711,0.5348,0.6023,0.6679,0.7252,0.7587
ROI 120,0.6674,0.1207,0.3476,0.6352,0.6746,0.7566,0.8472
ROI 151,0.6010,0.1101,0.3859,0.5046,0.6342,0.6754,0.7830
ROI 204,0.6181,0.1072,0.3520,0.5582,0.6369,0.7145,0.7519
ROI 150,0.6030,0.1591,0.1781,0.5173,0.6344,0.7233,0.7779
ROI 174,0.5599,0.1174,0.3835,0.4602,0.5601,0.6662,0.7211
ROI 161,0.5727,0.0821,0.3841,0.5408,0.5854,0.6359,0.6944
ROI 105,0.5785,0.1478,0.2453,0.4889,0.5556,0.7209,0.8111
ROI 121,0.6385,0.1799,0.2050,0.5084,0.7036,0.7647,0.8414
ROI 160,0.6150,0.1756,0.0719,0.6151,0.6668,0.6926,0.7836
ROI 141,0.6492,0.1964,0.1329,0.5377,0.7149,0.7845,0.8221
ROI 124,0.5999,0.1702,0.0786,0.5698,0.6622,0.6876,0.7372
ROI 117,0.5354,0.1203,0.2892,0.4715,0.5287,0.5838,0.7553
ROI 137,0.5379,0.1215,0.3134,0.4759,0.5528,0.6128,0.7069
ROI 140,0.6103,0.2024,0.0102,0.5832,0.6715,0.7386,0.7647
ROI 76,0.5397,0.0775,0.3863,0.4928,0.5562,0.5776,0.6876
ROI 116,0.5457,0.1307,0.3623,0.4107,0.5491,0.6705,0.7198
ROI 136,0.5164,0.1571,0.1867,0.4895,0.5275,0.5959,0.7131
ROI 75,0.5417,0.1582,0.0873,0.5261,0.5797,0.6456,0.6791
ROI 4,0.4747,0.0710,0.3554,0.4334,0.4845,0.5155,0.5977
ROI 165,0.5157,0.1359,0.3469,0.4218,0.4932,0.6454,0.7252
ROI 148,0.4395,0.1515,0.2050,0.3333,0.4340,0.5730,0.6651
ROI 49,0.5089,0.1376,0.2469,0.4211,0.5205,0.5950,0.7106
ROI 157,0.4947,0.2048,0.0470,0.3385,0.5338,0.6354,0.8183
ROI 164,0.4706,0.2449,0.0179,0.2954,0.5920,0.6520,0.7103
ROI 50,0.5037,0.1274,0.1565,0.4414,0.5307,0.5762,0.6853
ROI 149,0.4018,0.1499,0.1767,0.3108,0.4091,0.5007,0.6792
ROI 156,0.3909,0.2550,0.0139,0.1034,0.5159,0.5942,0.7340
