ROI name,mean DSC,std,minimum,first qurtile,median,third qurtile,max
ROI 118,0.5135,0.1442,0.1994,0.4141,0.5455,0.6320,0.6978
ROI 176,0.5343,0.0938,0.4163,0.4403,0.5570,0.5900,0.6686
ROI 181,0.4847,0.0964,0.2454,0.4416,0.4929,0.5442,0.6364
ROI 163,0.5485,0.0758,0.3889,0.5246,0.5458,0.5976,0.6781
ROI 109,0.4846,0.1604,0.1047,0.4229,0.5354,0.6083,0.6202
ROI 31,0.6090,0.0869,0.4767,0.5533,0.5977,0.6667,0.7870
ROI 186,0.5593,0.1083,0.2953,0.4992,0.5625,0.6471,0.7164
ROI 23,0.5398,0.1282,0.3226,0.4717,0.5206,0.6220,0.7780
ROI 114,0.5492,0.1030,0.3329,0.5321,0.5655,0.6278,0.6746
ROI 128,0.5271,0.0915,0.3957,0.4525,0.5178,0.6024,0.6589
ROI 179,0.5961,0.1347,0.1712,0.5932,0.6199,0.6819,0.7074
ROI 184,0.4781,0.1374,0.2022,0.3907,0.4712,0.5649,0.6926
ROI 104,0.4893,0.1081,0.2413,0.4358,0.5044,0.5465,0.6761
ROI 115,0.5373,0.0679,0.4132,0.4990,0.5558,0.5738,0.6437
ROI 187,0.5674,0.1045,0.3080,0.5418,0.6036,0.6169,0.6950
ROI 197,0.4412,0.1047,0.2714,0.3853,0.4421,0.4879,0.5992
ROI 125,0.6126,0.0890,0.4256,0.5740,0.6252,0.6859,0.7380
ROI 196,0.4907,0.0858,0.3637,0.4292,0.4914,0.5668,0.6583
ROI 120,0.5123,0.1657,0.0953,0.4912,0.5375,0.6328,0.7513
ROI 151,0.5046,0.1296,0.2039,0.4244,0.5167,0.6384,0.6664
ROI 204,0.4899,0.1183,0.2877,0.3970,0.4814,0.5809,0.6848
ROI 150,0.5583,0.1573,0.2437,0.4291,0.6170,0.6868,0.7319
ROI 174,0.4626,0.1445,0.2100,0.3417,0.4494,0.5769,0.6702
ROI 161,0.4056,0.1048,0.2272,0.3241,0.3985,0.4877,0.5703
ROI 105,0.4830,0.1485,0.0708,0.4068,0.5318,0.5638,0.6735
ROI 121,0.4351,0.1275,0.1287,0.3658,0.4544,0.5309,0.5913
ROI 160,0.4789,0.1305,0.1749,0.4813,0.5144,0.5523,0.6229
ROI 141,0.5741,0.1339,0.2287,0.5001,0.6171,0.6605,0.7228
ROI 124,0.5640,0.1435,0.1268,0.5548,0.5778,0.6533,0.7417
ROI 117,0.5482,0.1187,0.2569,0.5085,0.5691,0.5842,0.7110
ROI 137,0.4136,0.1584,0.0379,0.3354,0.4595,0.5065,0.6260
ROI 140,0.5174,0.1987,0.0077,0.3681,0.5620,0.6924,0.7068
ROI 76,0.1876,0.1282,0.0051,0.0859,0.1810,0.2857,0.4235
ROI 116,0.5202,0.1411,0.2597,0.4425,0.5350,0.6615,0.6964
ROI 136,0.3904,0.1325,0.1778,0.2938,0.4081,0.4686,0.6326
ROI 75,0.2049,0.1155,0.0000,0.1217,0.1993,0.2778,0.4653
ROI 4,0.4612,0.0539,0.3756,0.4133,0.4719,0.5000,0.5627
ROI 165,0.3490,0.1443,0.0941,0.2312,0.3501,0.4654,0.5760
ROI 148,0.2855,0.1521,0.1128,0.1506,0.2661,0.3859,0.5600
ROI 49,0.2237,0.1387,0.0000,0.1220,0.1933,0.3570,0.4471
ROI 157,0.2913,0.2231,0.0000,0.0807,0.2688,0.4090,0.6964
ROI 164,0.3233,0.1809,0.0113,0.2226,0.3369,0.4204,0.6342
ROI 50,0.0611,0.0920,0.0000,0.0000,0.0144,0.1411,0.2864
ROI 149,0.2184,0.1338,0.0598,0.1272,0.1769,0.3539,0.4749
ROI 156,0.2259,0.2316,0.0000,0.0098,0.1689,0.3008,0.6613
