179,1,1,4,6,6,30,36,36,66,98,106,106
180,1,1,4,5,21,27,41,41,43,45,107,107
181,1,1,4,6,22,28,42,42,44,46,108,108
182,1,1,4,5,5,29,43,55,69,99,109,109
183,1,1,4,6,6,30,44,56,70,100,110,110
184,1,1,4,5,21,27,41,41,43,45,45,111
185,1,1,4,6,22,28,42,42,44,46,46,112
186,1,1,4,5,5,5,5,5,33,101,111,113
187,1,1,4,6,6,6,6,6,34,102,112,114
190,1,1,4,5,5,29,43,49,51,103,113,115
191,1,1,4,6,6,30,44,50,52,104,114,116
192,1,1,4,5,5,29,43,49,53,77,115,117
193,1,1,4,6,6,30,44,50,54,78,116,118
194,1,1,4,5,5,5,37,37,39,105,117,119
195,1,1,4,6,6,6,38,38,40,106,118,120
196,1,1,4,5,21,31,45,57,87,107,119,121
197,1,1,4,6,22,32,46,58,88,108,120,122
198,1,1,4,5,5,5,37,59,67,109,121,123
199,1,1,4,6,6,6,38,60,68,110,122,124
200,1,1,4,5,21,27,41,41,43,111,123,125
201,1,1,4,6,22,28,42,42,44,112,124,126
202,1,1,4,5,21,27,41,45,89,113,125,127
203,1,1,4,6,22,28,42,46,90,114,126,128
204,1,1,4,5,5,29,35,47,49,115,127,129
205,1,1,4,6,6,30,36,48,50,116,128,130
206,1,1,4,5,21,27,41,41,43,45,107,131
207,1,1,4,6,22,28,42,42,44,46,108,132
